,Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
199,17-Oct-2011,-0.8271,0.127,0.799,0.07400000000000001,168.0,169.7,167.11,168.05,721608
200,18-Oct-2011,-0.8913,0.147,0.7609999999999999,0.092,167.55,168.54,165.51,166.09,437802
201,19-Oct-2011,-0.9254,0.12,0.799,0.081,166.75,166.88,157.79,157.79,1720000
202,20-Oct-2011,0.0516,0.132,0.735,0.133,156.52,162.25,155.99,161.7,1216570
203,21-Oct-2011,-0.91,0.193,0.6829999999999999,0.124,161.6,162.4,158.5,159.73,386253
204,25-Oct-2011,-0.9571,0.17300000000000001,0.746,0.081,162.0,164.95,160.87,161.64,1268926
205,26-Oct-2011,-0.3612,0.138,0.7140000000000001,0.14800000000000002,162.0,162.3,158.35,159.03,283379
206,27-Oct-2011,-0.9528,0.14400000000000002,0.826,0.03,158.75,160.0,151.08,151.4,797048
207,28-Oct-2011,-0.9423,0.21,0.6859999999999999,0.10400000000000001,152.0,155.9,152.0,154.85,742729
208,31-Oct-2011,-0.9686,0.256,0.696,0.048,156.76,162.49,156.45,160.05,1383443
209,01-Nov-2011,-0.9201,0.157,0.769,0.07400000000000001,161.4,161.4,154.0,154.28,527379
210,02-Nov-2011,0.0772,0.179,0.621,0.19899999999999998,154.11,155.0,152.31,154.54,143011
211,03-Nov-2011,-0.9081,0.159,0.8029999999999999,0.039,155.5,157.25,154.3,154.94,369710
212,04-Nov-2011,-0.1027,0.057999999999999996,0.889,0.053,156.45,156.79,155.5,155.77,637127
213,10-Nov-2011,-0.8627,0.141,0.787,0.071,156.35,161.5,156.1,160.41,1363637
214,14-Nov-2011,-0.9753,0.209,0.698,0.09300000000000001,163.25,163.6,160.51,161.26,709640
215,15-Nov-2011,-0.3707,0.11800000000000001,0.779,0.10300000000000001,160.6,161.5,159.15,160.03,971152
216,16-Nov-2011,-0.9736,0.18600000000000003,0.7390000000000001,0.075,160.5,160.65,159.0,159.63,1392511
217,17-Nov-2011,-0.9925,0.237,0.7240000000000001,0.039,160.0,162.0,159.2,160.04,374330
218,18-Nov-2011,-0.8788,0.161,0.76,0.079,160.89,160.9,159.35,160.3,152082
219,21-Nov-2011,-0.29600000000000004,0.08800000000000001,0.8320000000000001,0.08,160.8,161.39,158.5,159.62,387485
220,22-Nov-2011,-0.9670000000000001,0.171,0.774,0.055,159.0,159.8,157.25,157.69,895618
221,23-Nov-2011,-0.34,0.052000000000000005,0.9109999999999999,0.038,158.9,158.9,153.55,154.2,287382
222,24-Nov-2011,0.8591,0.081,0.769,0.15,154.5,154.52,152.51,153.13,499509
223,25-Nov-2011,-0.9201,0.156,0.777,0.067,153.5,153.85,152.0,152.31,175812
224,28-Nov-2011,-0.765,0.16699999999999998,0.7140000000000001,0.11900000000000001,151.49,151.49,147.74,148.0,2411081
225,29-Nov-2011,-0.1926,0.115,0.8009999999999999,0.084,148.0,151.5,147.3,148.97,760684
226,30-Nov-2011,-0.9338,0.177,0.738,0.084,149.8,152.6,148.6,151.37,664662
227,01-Dec-2011,-0.9382,0.187,0.74,0.073,150.5,152.3,149.1,151.05,1276456
228,02-Dec-2011,-0.9491,0.16699999999999998,0.765,0.068,151.0,151.05,146.6,147.27,516809
229,07-Dec-2011,-0.9612,0.22699999999999998,0.773,0.0,147.85,149.7,144.0,144.96,461397
230,08-Dec-2011,-0.9693,0.21600000000000003,0.7390000000000001,0.044000000000000004,143.41,149.1,143.4,148.57,531755
231,09-Dec-2011,-0.9382,0.13,0.821,0.049,149.0,149.0,146.9,147.95,650646
232,12-Dec-2011,-0.9545,0.172,0.8079999999999999,0.019,148.8,151.8,147.4,147.87,857325
233,13-Dec-2011,-0.802,0.08,0.867,0.053,148.05,148.6,146.2,146.53,215877
234,14-Dec-2011,-0.8582,0.12300000000000001,0.784,0.09300000000000001,147.0,147.4,143.5,144.36,559719
235,15-Dec-2011,-0.9403,0.12,0.863,0.017,144.0,144.0,138.5,139.67,537811
236,16-Dec-2011,0.4051,0.096,0.785,0.11900000000000001,136.51,138.0,135.0,137.05,565594
237,19-Dec-2011,-0.9612,0.159,0.765,0.076,139.25,140.89,136.0,137.26,264775
238,20-Dec-2011,-0.9485,0.14300000000000002,0.818,0.039,138.9,141.4,137.5,140.7,2416948
239,21-Dec-2011,-0.9062,0.11199999999999999,0.841,0.047,141.0,143.51,139.4,139.76,705665
240,22-Dec-2011,-0.93,0.14400000000000002,0.799,0.057,140.0,142.0,139.4,141.5,359906
241,23-Dec-2011,-0.743,0.1,0.8220000000000001,0.078,141.1,142.6,138.5,139.83,375824
242,26-Dec-2011,-0.872,0.163,0.743,0.094,140.75,141.45,137.6,138.41,269966
243,27-Dec-2011,-0.9359999999999999,0.20800000000000002,0.665,0.127,138.6,139.01,136.33,136.84,306497
244,28-Dec-2011,-0.9738,0.18600000000000003,0.764,0.051,137.0,137.99,136.66,137.04,218488
245,29-Dec-2011,-0.9919,0.251,0.679,0.069,137.77,138.75,137.36,138.12,293342
246,30-Dec-2011,-0.9468,0.15,0.7979999999999999,0.051,139.45,139.45,134.0,134.6,617242
247,02-Jan-2012,-0.9924,0.204,0.748,0.048,134.0,137.85,133.0,137.08,1094024
248,03-Jan-2012,-0.7102,0.14,0.746,0.114,137.94,143.93,137.21,143.93,1141535
249,04-Jan-2012,-0.9883,0.195,0.74,0.065,146.52,147.6,144.16,145.5,1159418
250,05-Jan-2012,-0.9022,0.131,0.784,0.085,145.5,146.5,143.5,144.04,672291
251,06-Jan-2012,0.5267,0.1,0.765,0.135,144.5,145.5,143.4,144.8,598738
252,09-Jan-2012,-0.9121,0.14,0.787,0.073,145.69,145.75,144.5,145.47,325181
253,10-Jan-2012,-0.9690000000000001,0.14400000000000002,0.8170000000000001,0.039,145.16,147.34,143.75,146.34,660540
254,11-Jan-2012,-0.9686,0.161,0.787,0.053,146.34,146.65,144.9,145.48,555618
255,12-Jan-2012,-0.9612,0.152,0.764,0.084,145.05,147.3,144.2,146.83,337713
256,13-Jan-2012,-0.9874,0.165,0.809,0.026000000000000002,146.9,148.99,146.9,148.06,899898
257,16-Jan-2012,-0.91,0.142,0.773,0.085,148.95,149.39,147.7,149.03,608452
258,17-Jan-2012,-0.8271,0.106,0.8420000000000001,0.052000000000000005,149.26,150.39,148.0,149.65,663428
259,18-Jan-2012,-0.9325,0.161,0.743,0.095,150.0,151.87,148.9,151.34,1035546
260,19-Jan-2012,0.304,0.081,0.826,0.09300000000000001,151.0,154.73,151.0,152.39,794360
261,20-Jan-2012,-0.9419,0.187,0.728,0.085,153.5,160.0,153.0,159.8,1220180
262,23-Jan-2012,-0.9798,0.188,0.767,0.045,165.0,167.79,163.0,167.79,1498450
263,24-Jan-2012,-0.9595,0.172,0.765,0.063,170.0,173.65,168.52,169.42,2015892
